1000,998
10121000,730
1029000,965
10325000,125
10512000,431
1055000,117
10653000,862
10912000,884
11129000,348
11189000,287
11217000,230
11262000,599
11371000,738
11374000,790
1144000,38
1152000,542
1158000,105
11870000,953
11988000,367
119000,746
12120000,667
12216000,844
12248000,180
1241000,527
12458000,31
12609000,848
12831000,878
12918000,539
13105000,895
1326000,639
13328000,605
13442000,466
1343000,595
1345000,515
13466000,38
1391000,993
142000,374
14163000,964
14593000,694
1468000,831
14726000,467
153000,479
15469000,319
15736000,429
158000,321
16272000,99
1634000,123
1635000,300
16197000,572
16738000,632
16977000,836
1709000,729
1724000,232
1736000,217
17576000,755
17536000,217
1767000,171
178000,426
18011000,369
1804000,72
18417000,176
182000,369
1891000,787
194000,229
1940000,716
19452000,343
19577000,42
19623000,713
19614000,397
19680000,177
1961000,369
2071000,600
2166000,324
2392000,41
2525000,926
2591000,463
27000,934
276000,350
2824000,791
2872000,145
30000,16
3429000,728
344000,602
3504000,628
3586000,891
3644000,962
3625000,303
3733000,831
3948000,308
3951000,121
3983000,20
401000,749
4134000,646
4156000,403
42000,236
4203000,582
422000,540
432000,525
438000,110
4641000,776
4948000,226
5167000,372
5227000,907
520000,906
527000,717
5339000,594
55000,521
5565000,162
564000,65
5662000,595
575000,697
5815000,461
5858000,390
606000,460
62000,356
7000,902
7119000,249
7131000,832
7308000,664
7397000,480
7427000,773
749000,559
7883000,94
7952000,703
8404000,148
8535000,455
8639000,730
8806000,226
8836000,867
892000,142
894000,875
9026000,350
9095000,209
9216000,329
9241000,278
9511000,178
9550000,507
955000,368
9745000,728
99000,746
9956000,403
998000,692
1002001,991
10031001,553
10016001,582
10468001,21
10616001,359
10831001,65
11060001,521
11110001,826
11224001,33
11671001,405
11809001,479
11994001,411
12138001,467
12242001,268
12515001,697
12556001,654
12675001,352
1270001,232
12776001,226
1276001,195
12813001,266
13030001,990
13312001,552
1349001,530
1359001,191
1370001,741
13951001,179
1391001,993
14149001,734
14163001,469
14636001,404
14680001,677
14877001,291
1493001,481
15064001,946
15142001,476
15209001,674
1565001,694
1568001,41
16239001,207
16680001,742
16714001,791
167001,161
17267001,321
174001,397
17685001,209
17777001,349
18315001,761
184001,203
18891001,178
1885001,136
1891001,255
19001,36
19644001,719
2011001,847
2089001,364
2182001,576
2268001,110
23001,143
231001,204
2326001,985
2381001,954
237001,881
242001,423
244001,133
2502001,856
251001,989
2514001,197
2682001,935
27001,934
285001,96
2855001,479
288001,545
30001,877
3095001,364
322001,525
3227001,433
3319001,739
3350001,667
3381001,40
3395001,469
343001,352
3637001,261
3642001,53
3647001,46
38001,531
3759001,679
3854001,867
392001,395
403001,209
402001,88
4141001,151
418001,883
4264001,363
422001,758
4452001,393
4751001,173
4778001,145
4763001,135
486001,459
489001,767
49001,249
4961001,124
4989001,980
5169001,928
5222001,915
54001,20
5513001,979
5564001,359
5587001,421
567001,721
5700001,819
57001,438
60001,538
61001,723
6392001,872
643001,110
6664001,485
6779001,976
7154001,337
718001,962
7332001,730
7623001,577
7652001,611
768001,179
7683001,840
7675001,857
775001,206
7751001,656
7851001,632
8028001,962
8389001,863
850001,344
8594001,886
864001,175
8665001,357
87001,843
8709001,270
8703001,145
8764001,100
8831001,256
893001,330
899001,183
90001,988
915001,848
9273001,476
9516001,387
958001,117
957001,643
9737001,728
9667001,771
